Date,Open,High,Low,Close,Adj Close,Volume,Conversion,Baseline,SpanA,SpanB,Lagging,label,group,over_cloud,a_over_b,conv_over_base,price_over_conv,position,daily_return
2018-03-15,614.8389892578125,620.6160278320312,579.5050048828125,611.3040161132812,611.3040161132812,1770460032,702.5559997558594,781.218994140625,899.2514953613281,1003.6495056152344,414.2430114746094,0,3,-1,-1,-1,-1,-4,-0.004862515380726684
2018-03-16,611.7780151367188,623.1680297851562,587.8619995117188,601.666015625,601.666015625,1417350016,676.6360168457031,772.385009765625,900.8359985351562,1003.6495056152344,430.5400085449219,0,3,-1,-1,-1,-1,-4,-0.015766296694008974
2018-03-17,601.677978515625,609.1510009765625,549.0960083007812,552.7789916992188,552.7789916992188,1267810048,648.5635070800781,757.1805114746094,900.8359985351562,1003.6495056152344,492.9410095214844,0,3,-1,-1,-1,-1,-4,-0.08125275926545106
2018-03-18,551.6400146484375,551.6400146484375,460.0880126953125,538.6439819335938,538.6439819335938,2685499904,604.0595092773438,686.2315063476562,908.1575012207031,1003.6495056152344,492.7349853515625,0,3,-1,-1,-1,-1,-4,-0.025570815783310774
2018-03-19,546.6259765625,558.0999755859375,519.1229858398438,556.7260131835938,556.7260131835938,2046790016,601.3009948730469,678.1734924316406,910.98974609375,1003.6495056152344,501.4779968261719,0,3,-1,-1,-1,-1,-4,0.033569541026134075
2018-03-20,556.7219848632812,567.0900268554688,521.2039794921875,557.1749877929688,557.1749877929688,1833680000,601.3009948730469,678.1734924316406,904.447509765625,1003.6495056152344,531.7020263671875,0,3,-1,-1,-1,-1,-4,0.0008064552378423961
2018-03-21,559.0999755859375,589.6069946289062,550.572021484375,561.7319946289062,561.7319946289062,1781270016,586.9114990234375,678.1734924316406,902.2107391357422,1003.6495056152344,511.1470031738281,0,3,-1,-1,-1,-1,-4,0.008178771365865423
2018-03-22,562.10302734375,577.5659790039062,523.0889892578125,539.7020263671875,539.7020263671875,1523459968,581.4360046386719,678.1734924316406,884.1932525634766,1003.6495056152344,502.8940124511719,0,3,-1,-1,-1,-1,-4,-0.03921793394779349
2018-03-23,539.864013671875,540.4869995117188,512.1270141601562,539.6190185546875,539.6190185546875,1596349952,541.6280212402344,678.1734924316406,878.3732452392578,1003.6495056152344,524.7890014648438,0,3,-1,-1,-1,-1,-4,-0.00015380304027901026
2018-03-24,542.572021484375,545.3820190429688,526.0800170898438,526.4390258789062,526.4390258789062,1300009984,541.6280212402344,678.1734924316406,878.3732452392578,1003.6495056152344,567.8889770507812,0,3,-1,-1,-1,1,-2,-0.024424625935317246
