Date,Open,High,Low,Close,Adj Close,Volume
2021-12-27,0.06931000202894211,0.08870500326156616,0.06913299858570099,0.08004000037908554,0.08004000037908554,1040786
2021-12-28,0.07997799664735794,0.08053100109100342,0.06287399679422379,0.06290999799966812,0.06290999799966812,1106101
2021-12-29,0.06289900094270706,0.13171400129795074,0.062164999544620514,0.11193999648094177,0.11193999648094177,2157529
2021-12-30,0.11193300038576126,0.2461470067501068,0.11193300038576126,0.17554399371147156,0.17554399371147156,7564432
2021-12-31,0.17553800344467163,0.17553800344467163,0.15036700665950775,0.16613100469112396,0.16613100469112396,6656514
2022-01-01,0.16611599922180176,0.19178499281406403,0.15685099363327026,0.17949000000953674,0.17949000000953674,1687561
2022-01-02,0.17948800325393677,0.22409600019454956,0.17813999950885773,0.20599499344825745,0.20599499344825745,2075225
2022-01-03,0.20599299669265747,0.23217099905014038,0.18702000379562378,0.1994670033454895,0.1994670033454895,1887497
2022-01-04,0.19947099685668945,0.20837999880313873,0.1535000056028366,0.15811799466609955,0.15811799466609955,1280708
2022-01-05,0.15812000632286072,0.1836560070514679,0.14498299360275269,0.15384800732135773,0.15384800732135773,1533402
2022-01-06,0.15384000539779663,0.17014199495315552,0.1392509937286377,0.16923299431800842,0.16923299431800842,1319600
2022-01-07,0.1692350059747696,0.1694139987230301,0.13792000710964203,0.14219200611114502,0.14219200611114502,821461
2022-01-08,0.14219500124454498,0.14902900159358978,0.12162700295448303,0.13482800126075745,0.13482800126075745,742495
2022-01-09,0.1348239928483963,0.13741900026798248,0.12434200197458267,0.13006600737571716,0.13006600737571716,515901
2022-01-10,0.130062997341156,0.1303279995918274,0.11541099846363068,0.11872100085020065,0.11872100085020065,432129
2022-01-11,0.11872100085020065,0.12368199974298477,0.11872100085020065,0.12162700295448303,0.12162700295448303,445781
2022-01-12,0.12162899971008301,0.16432100534439087,0.11861799657344818,0.15274399518966675,0.15274399518966675,590897
2022-01-13,0.15274399518966675,0.15274399518966675,0.1319819986820221,0.13371500372886658,0.13371500372886658,1077782
2022-01-14,0.13371899724006653,0.13516800105571747,0.13069100677967072,0.1335030049085617,0.1335030049085617,359319
2022-01-15,0.13350999355316162,0.13569200038909912,0.12382800132036209,0.12746499478816986,0.12746499478816986,199990
2022-01-16,0.12746700644493103,0.14232400059700012,0.12221299856901169,0.1389870047569275,0.1389870047569275,303726
2022-01-17,0.1389950066804886,0.1402300000190735,0.10900600254535675,0.11790399998426437,0.11790399998426437,425945
2022-01-18,0.11790599673986435,0.12110800296068192,0.1082020029425621,0.11343500018119812,0.11343500018119812,350596
2022-01-19,0.11343199759721756,0.11795400083065033,0.0854640007019043,0.08899500221014023,0.08899500221014023,541120
2022-01-20,0.08899799734354019,0.09700199961662292,0.08575700223445892,0.09170600026845932,0.09170600026845932,553970
2022-01-21,0.09170699864625931,0.09176699817180634,0.07859700173139572,0.07943499833345413,0.07943499833345413,254869
2022-01-22,0.0794299989938736,0.08039599657058716,0.07115600258111954,0.0720129981637001,0.0720129981637001,216619
2022-01-23,0.07201500236988068,0.07677199691534042,0.06779199838638306,0.06823699921369553,0.06823699921369553,186658
2022-01-24,0.06823500245809555,0.06824199855327606,0.06320399791002274,0.06336600333452225,0.06336600333452225,133355
2022-01-25,0.06336700171232224,0.06544499844312668,0.06151200085878372,0.06514299660921097,0.06514299660921097,85373
2022-01-26,0.06514099985361099,0.06673400104045868,0.05519900098443031,0.05562499910593033,0.05562499910593033,216049
2022-01-27,0.055622998625040054,0.056439999490976334,0.05452800169587135,0.056102998554706573,0.056102998554706573,210695
2022-01-28,0.056106001138687134,0.06785400211811066,0.056074000895023346,0.06784199923276901,0.06784199923276901,156885
2022-01-29,0.067842997610569,0.07695300132036209,0.06754899770021439,0.07317899912595749,0.07317899912595749,249470
2022-01-30,0.0731780007481575,0.0731780007481575,0.05952399969100952,0.06653600186109543,0.06653600186109543,229208
2022-01-31,0.06653899699449539,0.06705600023269653,0.06397400051355362,0.06666100025177002,0.06666100025177002,127428
2022-02-01,0.06666000187397003,0.06990399956703186,0.06619299948215485,0.068121999502182,0.068121999502182,77915
2022-02-02,0.06812500208616257,0.0681300014257431,0.059383999556303024,0.0595100000500679,0.0595100000500679,146104
2022-02-03,0.0595100000500679,0.06968200206756592,0.05732100084424019,0.06890500336885452,0.06890500336885452,190083
2022-02-04,0.06890200078487396,0.07973799854516983,0.0683249980211258,0.07317899912595749,0.07317899912595749,227998
2022-02-05,0.07317999750375748,0.08885999768972397,0.07252699881792068,0.08011700212955475,0.08011700212955475,262274
2022-02-06,0.08011200278997421,0.08045800030231476,0.07440199702978134,0.07955200225114822,0.07955200225114822,196455
